Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-10-24,25172.9,25306.2,24533.2,24583.4,437073207,0,0
2018-10-25,24736.5,25104.3,24645.6,24984.6,383139096,0,0
2018-10-26,24770.2,24916.2,24445.2,24688.3,440802767,0,0
2018-10-29,24819.0,25040.6,24122.2,24442.9,389637830,0,0
2018-10-30,24482.0,24906.7,24415.7,24874.6,405924570,0,0
2018-10-31,25008.8,25336.6,25008.8,25115.8,363814195,0,0
2018-11-01,25142.1,25396.5,25108.1,25380.7,324718670,0,0
2018-11-02,25443.6,25579.0,25078.7,25270.8,367164843,0,0
2018-11-05,25261.5,25507.3,25261.5,25461.7,278392440,0,0
2018-11-06,25452.8,25651.9,25444.9,25635.0,221986796,0,0
2018-11-07,25788.5,26200.1,25765.9,26180.3,288695421,0,0
2018-11-08,26139.6,26277.8,26081.9,26191.2,250976310,0,0
2018-11-09,26149.1,26161.5,25882.9,25989.3,268971162,0,0
2018-11-12,25959.3,25966.7,25340.5,25387.2,296060152,0,0
2018-11-13,25321.2,25511.0,25193.8,25288.4,294581098,0,0
2018-11-14,25388.1,25501.3,24935.8,25080.5,331406778,0,0
2018-11-15,25061.5,25354.6,24787.8,25289.3,337374191,0,0
2018-11-16,25242.3,25510.2,25147.8,25420.3,295194565,0,0
2018-11-19,25392.6,25392.6,24901.0,25017.4,303524610,0,0
2018-11-20,24618.7,24707.3,24369.0,24465.6,394244929,0,0
2018-11-21,24541.7,24669.8,24463.3,24464.7,245318453,0,0
2018-11-23,24336.4,24408.8,24268.7,24286.0,155942556,0,0
2018-11-26,24364.1,24673.3,24364.1,24638.5,251943807,0,0
2018-11-27,24557.0,24750.7,24416.0,24748.7,264725159,0,0
2018-11-28,24832.8,25368.9,24832.8,25366.4,308153950,0,0
2018-11-29,25343.7,25479.0,25202.8,25338.8,272328196,0,0
2018-11-30,25307.1,25549.7,25251.0,25538.5,286871478,0,0
2018-12-03,25779.6,25980.2,25670.5,25826.4,323970214,0,0
2018-12-04,25752.6,25773.1,25008.1,25039.4,338887508,0,0
2018-12-06,24737.4,24951.0,24242.2,24947.7,403324920,0,0
2018-12-07,24918.8,25095.6,24284.8,24393.7,329643675,0,0
2018-12-10,24360.9,24500.8,23881.4,24423.3,334090660,0,0
2018-12-11,24719.9,24791.3,24221.1,24370.2,298911089,0,0
2018-12-12,24509.1,24828.3,24509.1,24533.7,271794610,0,0
2018-12-13,24575.9,24741.0,24473.3,24597.4,253848552,0,0
2018-12-14,24408.0,24431.1,24033.8,24105.0,351136935,0,0
2018-12-17,23986.8,24088.1,23456.9,23593.0,383728453,0,0
2018-12-18,23769.1,23927.8,23516.0,23675.6,338083345,0,0
2018-12-19,23693.3,24057.3,23162.6,23323.7,424732626,0,0
2018-12-20,23224.1,23282.2,22644.3,22859.6,486177826,0,0
2018-12-21,22871.7,23254.6,22396.3,22445.4,596193053,0,0
2018-12-24,22317.3,22339.9,21792.2,21792.2,308419010,0,0
2018-12-26,21857.7,22877.1,21712.5,22873.2,364880733,0,0
2018-12-27,22629.1,23126.5,22267.4,23138.8,329506488,0,0
2018-12-28,23213.6,23381.9,22981.3,23062.4,294542709,0,0
2018-12-31,23153.9,23329.5,23118.3,23327.5,231032264,0,0
2019-01-02,23058.6,23413.5,22928.6,23340.7,260067559,0,0
2019-01-03,23176.4,23176.4,22638.4,22686.2,364601230,0,0
2019-01-04,22894.9,23518.6,22894.9,23428.2,328221312,0,0
2019-01-07,23474.3,23687.7,23301.6,23531.3,272309900,0,0
2019-01-08,23680.3,23864.7,23581.4,23786.2,271560217,0,0
2019-01-09,23844.3,23985.4,23776.6,23879.1,281743455,0,0
2019-01-10,23811.1,24014.8,23703.2,24001.9,267155242,0,0
2019-01-11,23940.0,23996.3,23798.2,23995.9,220294680,0,0
2019-01-14,23880.5,23964.9,23765.2,23909.8,208269471,0,0
2019-01-15,23914.1,24099.1,23887.9,24065.6,252997448,0,0
2019-01-16,24139.9,24288.6,24119.7,24207.2,258410361,0,0
2019-01-17,24147.1,24474.5,24088.9,24370.1,247983882,0,0
2019-01-18,24534.2,24747.3,24459.0,24706.3,319926669,0,0
2019-01-22,24607.8,24607.8,24244.3,24404.5,264888777,0,0
2019-01-23,24577.2,24701.0,24307.2,24575.6,272955877,0,0
2019-01-24,24580.0,24626.3,24422.7,24553.2,273490986,0,0
2019-01-25,24687.2,24860.2,24676.8,24732.4,325443604,0,0
2019-01-28,24597.0,24597.0,24323.9,24528.2,296593846,0,0
2019-01-29,24519.6,24674.9,24504.0,24578.4,287361357,0,0
2019-01-30,24826.5,25109.6,24790.9,25014.9,354060088,0,0
2019-01-31,24954.5,25049.6,24842.1,24999.7,380645608,0,0
